Location,FIPS,"Mortality Rate, 1980*","Mortality Rate, 1985*","Mortality Rate, 1990*","Mortality Rate, 1995*","Mortality Rate, 2000*","Mortality Rate, 2005*","Mortality Rate, 2010*","Mortality Rate, 2014*","% Change in Mortality Rate, 1980-2014"
United States,,"0.49 (0.46, 0.53)","0.53 (0.50, 0.56)","0.78 (0.74, 0.82)","1.42 (1.35, 1.49)","1.84 (1.75, 1.94)","0.86 (0.82, 0.91)","0.30 (0.29, 0.32)","0.29 (0.27, 0.32)","-40.74 (-48.49, -32.30)"
Alabama,1,"0.50 (0.45, 0.55)","0.53 (0.49, 0.58)","0.81 (0.76, 0.87)","1.45 (1.36, 1.55)","1.88 (1.75, 2.00)","0.81 (0.75, 0.87)","0.25 (0.23, 0.28)","0.24 (0.21, 0.27)","-51.75 (-60.02, -43.16)"
"Autauga County, Alabama",1001,"0.37 (0.29, 0.47)","0.42 (0.33, 0.52)","0.68 (0.54, 0.83)","1.18 (0.94, 1.44)","1.46 (1.16, 1.79)","0.68 (0.52, 0.86)","0.20 (0.14, 0.27)","0.20 (0.13, 0.28)","-46.72 (-63.99, -24.18)"
"Baldwin County, Alabama",1003,"0.43 (0.35, 0.52)","0.46 (0.39, 0.54)","0.69 (0.59, 0.81)","1.19 (1.03, 1.40)","1.50 (1.28, 1.76)","0.66 (0.55, 0.78)","0.22 (0.17, 0.27)","0.21 (0.16, 0.28)","-51.28 (-64.03, -34.52)"
"Barbour County, Alabama",1005,"0.43 (0.34, 0.53)","0.45 (0.36, 0.54)","0.66 (0.53, 0.81)","1.22 (0.99, 1.47)","1.69 (1.37, 2.06)","0.70 (0.55, 0.89)","0.21 (0.16, 0.29)","0.20 (0.14, 0.28)","-52.71 (-66.28, -34.42)"
"Bibb County, Alabama",1007,"0.38 (0.30, 0.47)","0.43 (0.34, 0.53)","0.71 (0.58, 0.86)","1.35 (1.12, 1.62)","1.66 (1.36, 2.02)","0.75 (0.58, 0.95)","0.22 (0.16, 0.30)","0.20 (0.14, 0.28)","-47.40 (-63.30, -26.26)"
"Blount County, Alabama",1009,"0.40 (0.32, 0.50)","0.42 (0.35, 0.52)","0.68 (0.54, 0.81)","1.33 (1.11, 1.58)","1.65 (1.37, 2.00)","0.72 (0.57, 0.90)","0.22 (0.16, 0.28)","0.21 (0.15, 0.28)","-48.33 (-64.28, -28.54)"
"Bullock County, Alabama",1011,"0.46 (0.36, 0.57)","0.50 (0.41, 0.62)","0.78 (0.63, 0.94)","1.41 (1.13, 1.73)","1.97 (1.56, 2.43)","0.85 (0.64, 1.09)","0.23 (0.16, 0.32)","0.22 (0.15, 0.32)","-51.81 (-67.66, -29.70)"
"Butler County, Alabama",1013,"0.48 (0.37, 0.59)","0.51 (0.40, 0.64)","0.78 (0.62, 0.96)","1.35 (1.09, 1.63)","1.79 (1.41, 2.19)","0.77 (0.58, 0.99)","0.24 (0.17, 0.32)","0.23 (0.16, 0.31)","-52.36 (-66.53, -35.00)"
"Calhoun County, Alabama",1015,"0.47 (0.38, 0.57)","0.50 (0.40, 0.61)","0.78 (0.64, 0.93)","1.50 (1.26, 1.75)","2.00 (1.64, 2.35)","0.86 (0.69, 1.06)","0.26 (0.20, 0.34)","0.25 (0.18, 0.34)","-46.54 (-62.87, -22.77)"
