Aquatic Programs Count,day,Day of Week,Family Swim Count,Lap Swim Count,Outage Count,tally_Time,Water Excercise Count
,03/03/2020,Tuesday,,,,05:45:00,
,03/03/2020,Tuesday,,,,06:15:00,
,03/03/2020,Tuesday,,,,06:45:00,
,03/03/2020,Tuesday,,,,07:15:00,
,03/03/2020,Tuesday,,,,07:45:00,
,03/03/2020,Tuesday,,,,08:15:00,
,03/03/2020,Tuesday,,,,08:45:00,
,03/03/2020,Tuesday,,,,09:15:00,
,03/03/2020,Tuesday,,,,09:45:00,
,03/03/2020,Tuesday,,,,10:15:00,
,03/03/2020,Tuesday,,,,10:45:00,
,03/03/2020,Tuesday,,,,11:15:00,
,03/03/2020,Tuesday,,,,11:45:00,
,03/03/2020,Tuesday,,,,12:15:00,
,03/03/2020,Tuesday,,,,12:45:00,
,03/03/2020,Tuesday,,,,13:15:00,
,03/03/2020,Tuesday,,,,13:45:00,
,03/03/2020,Tuesday,,,,14:15:00,
,03/03/2020,Tuesday,,,,14:45:00,
,03/03/2020,Tuesday,,,,15:15:00,
,03/03/2020,Tuesday,,,,15:45:00,
,03/03/2020,Tuesday,,,,16:15:00,
,03/03/2020,Tuesday,,,,16:45:00,
,03/03/2020,Tuesday,,,,17:15:00,
,03/03/2020,Tuesday,,,,17:45:00,
,03/03/2020,Tuesday,,,,18:15:00,
,03/03/2020,Tuesday,,,,18:45:00,
,03/03/2020,Tuesday,,,,19:15:00,
,03/03/2020,Tuesday,,,,19:45:00,
,03/03/2020,Tuesday,,,,20:15:00,
,03/03/2020,Tuesday,,,,20:45:00,
,03/03/2020,Tuesday,,,,21:15:00,
,03/04/2020,Wednesday,,,,05:45:00,
,03/04/2020,Wednesday,,,,06:15:00,
,03/04/2020,Wednesday,,,,06:45:00,
,03/04/2020,Wednesday,,,,07:15:00,
,03/04/2020,Wednesday,,,,07:45:00,
,03/04/2020,Wednesday,,,,08:15:00,
,03/04/2020,Wednesday,,,,08:45:00,
,03/04/2020,Wednesday,,,,09:15:00,
,03/04/2020,Wednesday,,,,09:45:00,
,03/04/2020,Wednesday,,,,10:15:00,
