,Location,FIPS,"Mortality Rate, 1980*","Mortality Rate, 1985*","Mortality Rate, 1990*","Mortality Rate, 1995*","Mortality Rate, 2000*","Mortality Rate, 2005*","Mortality Rate, 2010*","Mortality Rate, 2014*","% Change in Mortality Rate, 1980-2014",CI Lower Boundary,CI Upper Boundary,Mortality Rate,Margin of Error
0,United States,,"0.49 (0.46, 0.53)","0.53 (0.50, 0.56)","0.78 (0.74, 0.82)","1.42 (1.35, 1.49)","1.84 (1.75, 1.94)","0.86 (0.82, 0.91)","0.30 (0.29, 0.32)","0.29 (0.27, 0.32)","-40.74 (-48.49, -32.30)",-48.49,-32.3,-40.74 ,8.095000000000002
1,Alabama,1.0,"0.50 (0.45, 0.55)","0.53 (0.49, 0.58)","0.81 (0.76, 0.87)","1.45 (1.36, 1.55)","1.88 (1.75, 2.00)","0.81 (0.75, 0.87)","0.25 (0.23, 0.28)","0.24 (0.21, 0.27)","-51.75 (-60.02, -43.16)",-60.02,-43.16,-51.75 ,8.430000000000003
2,"Autauga County, Alabama",1001.0,"0.37 (0.29, 0.47)","0.42 (0.33, 0.52)","0.68 (0.54, 0.83)","1.18 (0.94, 1.44)","1.46 (1.16, 1.79)","0.68 (0.52, 0.86)","0.20 (0.14, 0.27)","0.20 (0.13, 0.28)","-46.72 (-63.99, -24.18)",-63.99,-24.18,-46.72 ,19.905
3,"Baldwin County, Alabama",1003.0,"0.43 (0.35, 0.52)","0.46 (0.39, 0.54)","0.69 (0.59, 0.81)","1.19 (1.03, 1.40)","1.50 (1.28, 1.76)","0.66 (0.55, 0.78)","0.22 (0.17, 0.27)","0.21 (0.16, 0.28)","-51.28 (-64.03, -34.52)",-64.03,-34.52,-51.28 ,14.754999999999999
4,"Barbour County, Alabama",1005.0,"0.43 (0.34, 0.53)","0.45 (0.36, 0.54)","0.66 (0.53, 0.81)","1.22 (0.99, 1.47)","1.69 (1.37, 2.06)","0.70 (0.55, 0.89)","0.21 (0.16, 0.29)","0.20 (0.14, 0.28)","-52.71 (-66.28, -34.42)",-66.28,-34.42,-52.71 ,15.93
5,"Bibb County, Alabama",1007.0,"0.38 (0.30, 0.47)","0.43 (0.34, 0.53)","0.71 (0.58, 0.86)","1.35 (1.12, 1.62)","1.66 (1.36, 2.02)","0.75 (0.58, 0.95)","0.22 (0.16, 0.30)","0.20 (0.14, 0.28)","-47.40 (-63.30, -26.26)",-63.3,-26.26,-47.40 ,18.519999999999996
6,"Blount County, Alabama",1009.0,"0.40 (0.32, 0.50)","0.42 (0.35, 0.52)","0.68 (0.54, 0.81)","1.33 (1.11, 1.58)","1.65 (1.37, 2.00)","0.72 (0.57, 0.90)","0.22 (0.16, 0.28)","0.21 (0.15, 0.28)","-48.33 (-64.28, -28.54)",-64.28,-28.54,-48.33 ,17.87
7,"Bullock County, Alabama",1011.0,"0.46 (0.36, 0.57)","0.50 (0.41, 0.62)","0.78 (0.63, 0.94)","1.41 (1.13, 1.73)","1.97 (1.56, 2.43)","0.85 (0.64, 1.09)","0.23 (0.16, 0.32)","0.22 (0.15, 0.32)","-51.81 (-67.66, -29.70)",-67.66,-29.7,-51.81 ,18.979999999999997
8,"Butler County, Alabama",1013.0,"0.48 (0.37, 0.59)","0.51 (0.40, 0.64)","0.78 (0.62, 0.96)","1.35 (1.09, 1.63)","1.79 (1.41, 2.19)","0.77 (0.58, 0.99)","0.24 (0.17, 0.32)","0.23 (0.16, 0.31)","-52.36 (-66.53, -35.00)",-66.53,-35.0,-52.36 ,15.765
9,"Calhoun County, Alabama",1015.0,"0.47 (0.38, 0.57)","0.50 (0.40, 0.61)","0.78 (0.64, 0.93)","1.50 (1.26, 1.75)","2.00 (1.64, 2.35)","0.86 (0.69, 1.06)","0.26 (0.20, 0.34)","0.25 (0.18, 0.34)","-46.54 (-62.87, -22.77)",-62.87,-22.77,-46.54 ,20.049999999999997
10,"Chambers County, Alabama",1017.0,"0.42 (0.33, 0.54)","0.44 (0.34, 0.55)","0.64 (0.49, 0.80)","1.20 (0.95, 1.49)","1.60 (1.27, 2.01)","0.67 (0.50, 0.86)","0.21 (0.14, 0.29)","0.19 (0.12, 0.27)","-54.93 (-69.56, -37.79)",-69.56,-37.79,-54.93 ,15.885000000000002
11,"Cherokee County, Alabama",1019.0,"0.36 (0.29, 0.45)","0.38 (0.30, 0.47)","0.61 (0.49, 0.73)","1.22 (1.01, 1.46)","1.55 (1.25, 1.88)","0.68 (0.53, 0.86)","0.21 (0.15, 0.29)","0.19 (0.13, 0.27)","-46.68 (-63.36, -25.55)",-63.36,-25.55,-46.68 ,18.905
12,"Chilton County, Alabama",1021.0,"0.40 (0.32, 0.49)","0.44 (0.35, 0.53)","0.74 (0.61, 0.87)","1.45 (1.20, 1.72)","1.76 (1.43, 2.11)","0.81 (0.63, 1.02)","0.24 (0.18, 0.32)","0.23 (0.16, 0.32)","-43.01 (-60.82, -18.81)",-60.82,-18.81,-43.01 ,21.005000000000003
13,"Choctaw County, Alabama",1023.0,"0.43 (0.35, 0.53)","0.45 (0.37, 0.56)","0.67 (0.55, 0.81)","1.18 (0.97, 1.40)","1.52 (1.25, 1.83)","0.62 (0.49, 0.77)","0.18 (0.13, 0.23)","0.16 (0.11, 0.21)","-63.94 (-74.09, -50.24)",-74.09,-50.24,-63.94 ,11.925
14,"Clarke County, Alabama",1025.0,"0.46 (0.37, 0.57)","0.48 (0.39, 0.59)","0.74 (0.62, 0.88)","1.29 (1.09, 1.52)","1.69 (1.41, 2.01)","0.73 (0.59, 0.91)","0.22 (0.17, 0.29)","0.20 (0.15, 0.27)","-56.34 (-68.45, -41.18)",-68.45,-41.18,-56.34 ,13.635000000000002
15,"Clay County, Alabama",1027.0,"0.39 (0.31, 0.50)","0.42 (0.32, 0.52)","0.67 (0.53, 0.83)","1.29 (1.03, 1.59)","1.68 (1.30, 2.14)","0.69 (0.51, 0.91)","0.20 (0.13, 0.28)","0.18 (0.11, 0.27)","-53.44 (-69.34, -35.03)",-69.34,-35.03,-53.44 ,17.155
16,"Cleburne County, Alabama",1029.0,"0.33 (0.27, 0.41)","0.35 (0.29, 0.43)","0.59 (0.49, 0.70)","1.22 (1.02, 1.42)","1.54 (1.29, 1.83)","0.66 (0.52, 0.82)","0.19 (0.14, 0.24)","0.17 (0.12, 0.23)","-48.24 (-63.00, -28.79)",-63.0,-28.79,-48.24 ,17.105
17,"Coffee County, Alabama",1031.0,"0.40 (0.31, 0.51)","0.43 (0.33, 0.54)","0.67 (0.53, 0.83)","1.24 (0.99, 1.51)","1.49 (1.19, 1.85)","0.67 (0.51, 0.85)","0.22 (0.16, 0.30)","0.20 (0.14, 0.28)","-49.62 (-65.37, -29.85)",-65.37,-29.85,-49.62 ,17.76
18,"Colbert County, Alabama",1033.0,"0.41 (0.32, 0.52)","0.44 (0.34, 0.55)","0.67 (0.53, 0.82)","1.24 (1.01, 1.53)","1.53 (1.23, 1.90)","0.64 (0.48, 0.83)","0.18 (0.12, 0.25)","0.16 (0.10, 0.23)","-61.63 (-75.16, -43.44)",-75.16,-43.44,-61.63 ,15.86
